tweet,location,request_type,urgency
Children in Cuttack require urgent Humanitarian support.,Cuttack,Humanitarian,Urgent
Requesting Medical support in Surat. Please help.,Surat,Medical,Urgent
Requesting Medical support in Ahmedabad. Please help.,Ahmedabad,Medical,Non-Urgent
Looking for volunteers in Itanagar for Medical help.,Itanagar,Medical,Non-Urgent
Urgent call for Food & Supplies aid in Patna.,Patna,Food & Supplies,Urgent
Children in Kanpur require urgent Humanitarian support.,Kanpur,Humanitarian,Non-Urgent
Need immediate assistance in Hyderabad. Situation critical.,Hyderabad,Food & Supplies,Non-Urgent
Medical emergency reported in Imphal. Need Food & Supplies.,Imphal,Food & Supplies,Urgent
Requesting Food & Supplies support in Leh. Please help.,Leh,Food & Supplies,Non-Urgent
"Family stranded in Lucknow, require Medical.",Lucknow,Medical,Urgent
Medical emergency reported in Surat. Need Food & Supplies.,Surat,Food & Supplies,Urgent
Community in Patna asking for Medical assistance.,Patna,Medical,Non-Urgent
Looking for volunteers in Vadodara for Humanitarian help.,Vadodara,Humanitarian,Urgent
"Supplies running low in Ahmedabad, need Medical.",Ahmedabad,Medical,Non-Urgent
Looking for volunteers in Kochi for Humanitarian help.,Kochi,Humanitarian,Non-Urgent
Senior citizens need Food & Supplies assistance in Jammu.,Jammu,Food & Supplies,Urgent
Looking for volunteers in Goa for Food & Supplies help.,Goa,Food & Supplies,Non-Urgent
Need immediate assistance in Guwahati. Situation critical.,Guwahati,Food & Supplies,Non-Urgent
Urgent call for Food & Supplies aid in Patna.,Patna,Food & Supplies,Urgent
"Supplies running low in Delhi, need Food & Supplies.",Delhi,Food & Supplies,Urgent
Senior citizens need Humanitarian assistance in Jaipur.,Jaipur,Humanitarian,Non-Urgent
Looking for volunteers in Lucknow for Humanitarian help.,Lucknow,Humanitarian,Non-Urgent
"Family stranded in Chennai, require Food & Supplies.",Chennai,Food & Supplies,Urgent
Looking for volunteers in Siliguri for Food & Supplies help.,Siliguri,Food & Supplies,Non-Urgent
Medical emergency reported in Gurugram. Need Humanitarian.,Gurugram,Humanitarian,Urgent
Children in Bhopal require urgent Food & Supplies support.,Bhopal,Food & Supplies,Urgent
Children in Siliguri require urgent Medical support.,Siliguri,Medical,Urgent
Senior citizens need Medical assistance in Ahmedabad.,Ahmedabad,Medical,Urgent
Urgent call for Humanitarian aid in Bhubaneswar.,Bhubaneswar,Humanitarian,Urgent
Medical emergency reported in Kolkata. Need Humanitarian.,Kolkata,Humanitarian,Urgent
Medical emergency reported in Agartala. Need Medical.,Agartala,Medical,Non-Urgent
Senior citizens need Medical assistance in Coimbatore.,Coimbatore,Medical,Urgent
Medical emergency reported in Udaipur. Need Medical.,Udaipur,Medical,Non-Urgent
Looking for volunteers in Lucknow for Medical help.,Lucknow,Medical,Non-Urgent
Requesting Medical support in Ahmedabad. Please help.,Ahmedabad,Medical,Non-Urgent
Urgent call for Food & Supplies aid in Udaipur.,Udaipur,Food & Supplies,Urgent
Looking for volunteers in Kanpur for Food & Supplies help.,Kanpur,Food & Supplies,Non-Urgent
Children in Kolkata require urgent Medical support.,Kolkata,Medical,Urgent
Senior citizens need Humanitarian assistance in Vadodara.,Vadodara,Humanitarian,Non-Urgent
Urgent call for Medical aid in Srinagar.,Srinagar,Medical,Non-Urgent
Requesting Humanitarian support in Siliguri. Please help.,Siliguri,Humanitarian,Urgent
Children in Coimbatore require urgent Medical support.,Coimbatore,Medical,Urgent
"Supplies running low in Mysuru, need Medical.",Mysuru,Medical,Urgent
Urgent call for Food & Supplies aid in Gurugram.,Gurugram,Food & Supplies,Non-Urgent
Urgent call for Food & Supplies aid in Guwahati.,Guwahati,Food & Supplies,Urgent
Medical emergency reported in Pune. Need Medical.,Pune,Medical,Non-Urgent
Medical emergency reported in Kanpur. Need Humanitarian.,Kanpur,Humanitarian,Non-Urgent
"Family stranded in Noida, require Medical.",Noida,Medical,Non-Urgent
"Supplies running low in Thiruvananthapuram, need Food & Supplies.",Thiruvananthapuram,Food & Supplies,Urgent
Children in Hyderabad require urgent Food & Supplies support.,Hyderabad,Food & Supplies,Urgent
Medical emergency reported in Pune. Need Humanitarian.,Pune,Humanitarian,Non-Urgent
"Family stranded in Kolkata, require Humanitarian.",Kolkata,Humanitarian,Urgent
Looking for volunteers in Agartala for Medical help.,Agartala,Medical,Urgent
"Supplies running low in Udaipur, need Humanitarian.",Udaipur,Humanitarian,Urgent
Requesting Food & Supplies support in Bengaluru. Please help.,Bengaluru,Food & Supplies,Urgent
Need immediate assistance in Ranchi. Situation critical.,Ranchi,Humanitarian,Urgent
Looking for volunteers in Thiruvananthapuram for Medical help.,Thiruvananthapuram,Medical,Urgent
Need immediate assistance in Coimbatore. Situation critical.,Coimbatore,Food & Supplies,Non-Urgent
"Supplies running low in Siliguri, need Food & Supplies.",Siliguri,Food & Supplies,Urgent
Children in Jammu require urgent Food & Supplies support.,Jammu,Food & Supplies,Non-Urgent
Looking for volunteers in Noida for Food & Supplies help.,Noida,Food & Supplies,Urgent
Need immediate assistance in Vadodara. Situation critical.,Vadodara,Food & Supplies,Urgent
Need immediate assistance in Chandigarh. Situation critical.,Chandigarh,Food & Supplies,Urgent
Urgent call for Humanitarian aid in Siliguri.,Siliguri,Humanitarian,Urgent
Senior citizens need Medical assistance in Coimbatore.,Coimbatore,Medical,Non-Urgent
Urgent call for Food & Supplies aid in Udaipur.,Udaipur,Food & Supplies,Urgent
Children in Bhopal require urgent Food & Supplies support.,Bhopal,Food & Supplies,Non-Urgent
Urgent call for Humanitarian aid in Hyderabad.,Hyderabad,Humanitarian,Urgent
Urgent call for Humanitarian aid in Warangal.,Warangal,Humanitarian,Urgent
Urgent call for Food & Supplies aid in Hyderabad.,Hyderabad,Food & Supplies,Non-Urgent
Community in Srinagar asking for Humanitarian assistance.,Srinagar,Humanitarian,Non-Urgent
Community in Ranchi asking for Medical assistance.,Ranchi,Medical,Urgent
Children in Siliguri require urgent Humanitarian support.,Siliguri,Humanitarian,Non-Urgent
Senior citizens need Food & Supplies assistance in Udaipur.,Udaipur,Food & Supplies,Non-Urgent
Medical emergency reported in Shillong. Need Food & Supplies.,Shillong,Food & Supplies,Urgent
Need immediate assistance in Kochi. Situation critical.,Kochi,Medical,Urgent
Senior citizens need Humanitarian assistance in Vadodara.,Vadodara,Humanitarian,Urgent
"Family stranded in Chandigarh, require Humanitarian.",Chandigarh,Humanitarian,Urgent
Community in Patna asking for Food & Supplies assistance.,Patna,Food & Supplies,Non-Urgent
Senior citizens need Medical assistance in Mysuru.,Mysuru,Medical,Urgent
"Supplies running low in Bhubaneswar, need Food & Supplies.",Bhubaneswar,Food & Supplies,Non-Urgent
Urgent call for Medical aid in Chennai.,Chennai,Medical,Non-Urgent
Medical emergency reported in Nagpur. Need Medical.,Nagpur,Medical,Non-Urgent
"Family stranded in Shillong, require Medical.",Shillong,Medical,Urgent
Need immediate assistance in Srinagar. Situation critical.,Srinagar,Humanitarian,Urgent
Community in Aizawl asking for Food & Supplies assistance.,Aizawl,Food & Supplies,Urgent
Need immediate assistance in Indore. Situation critical.,Indore,Medical,Non-Urgent
Requesting Medical support in Jammu. Please help.,Jammu,Medical,Non-Urgent
Community in Udaipur asking for Humanitarian assistance.,Udaipur,Humanitarian,Urgent
Urgent call for Medical aid in Jammu.,Jammu,Medical,Urgent
Medical emergency reported in Agartala. Need Medical.,Agartala,Medical,Urgent
Requesting Humanitarian support in Surat. Please help.,Surat,Humanitarian,Urgent
Need immediate assistance in Pune. Situation critical.,Pune,Food & Supplies,Non-Urgent
Senior citizens need Medical assistance in Coimbatore.,Coimbatore,Medical,Non-Urgent
Community in Udaipur asking for Humanitarian assistance.,Udaipur,Humanitarian,Urgent
Senior citizens need Food & Supplies assistance in Guwahati.,Guwahati,Food & Supplies,Non-Urgent
Community in Itanagar asking for Medical assistance.,Itanagar,Medical,Non-Urgent
Need immediate assistance in Surat. Situation critical.,Surat,Medical,Non-Urgent
Senior citizens need Food & Supplies assistance in Bhopal.,Bhopal,Food & Supplies,Urgent
Requesting Medical support in Indore. Please help.,Indore,Medical,Non-Urgent
Need immediate assistance in Bhopal. Situation critical.,Bhopal,Food & Supplies,Non-Urgent
Community in Nagpur asking for Humanitarian assistance.,Nagpur,Humanitarian,Urgent
Looking for volunteers in Aizawl for Food & Supplies help.,Aizawl,Food & Supplies,Urgent
Urgent call for Medical aid in Thiruvananthapuram.,Thiruvananthapuram,Medical,Urgent
Urgent call for Food & Supplies aid in Lucknow.,Lucknow,Food & Supplies,Urgent
"Family stranded in Pune, require Medical.",Pune,Medical,Non-Urgent
Medical emergency reported in Kanpur. Need Medical.,Kanpur,Medical,Urgent
Children in Mumbai require urgent Medical support.,Mumbai,Medical,Urgent
Medical emergency reported in Surat. Need Medical.,Surat,Medical,Urgent
"Family stranded in Kolkata, require Humanitarian.",Kolkata,Humanitarian,Non-Urgent
"Family stranded in Itanagar, require Humanitarian.",Itanagar,Humanitarian,Urgent
Senior citizens need Humanitarian assistance in Noida.,Noida,Humanitarian,Non-Urgent
Community in Lucknow asking for Food & Supplies assistance.,Lucknow,Food & Supplies,Urgent
Senior citizens need Food & Supplies assistance in Imphal.,Imphal,Food & Supplies,Urgent
Looking for volunteers in Hyderabad for Humanitarian help.,Hyderabad,Humanitarian,Urgent
Urgent call for Food & Supplies aid in Hyderabad.,Hyderabad,Food & Supplies,Non-Urgent
Community in Warangal asking for Humanitarian assistance.,Warangal,Humanitarian,Urgent
Looking for volunteers in Noida for Humanitarian help.,Noida,Humanitarian,Non-Urgent
Senior citizens need Humanitarian assistance in Gurugram.,Gurugram,Humanitarian,Urgent
Urgent call for Humanitarian aid in Guwahati.,Guwahati,Humanitarian,Non-Urgent
Requesting Food & Supplies support in Ranchi. Please help.,Ranchi,Food & Supplies,Urgent
Children in Ranchi require urgent Humanitarian support.,Ranchi,Humanitarian,Non-Urgent
Need immediate assistance in Mumbai. Situation critical.,Mumbai,Humanitarian,Non-Urgent
Need immediate assistance in Bhopal. Situation critical.,Bhopal,Humanitarian,Non-Urgent
"Supplies running low in Nagpur, need Food & Supplies.",Nagpur,Food & Supplies,Non-Urgent
"Supplies running low in Jaipur, need Food & Supplies.",Jaipur,Food & Supplies,Non-Urgent
Requesting Medical support in Imphal. Please help.,Imphal,Medical,Urgent
Senior citizens need Medical assistance in Kanpur.,Kanpur,Medical,Non-Urgent
Community in Delhi asking for Humanitarian assistance.,Delhi,Humanitarian,Urgent
"Family stranded in Gurugram, require Medical.",Gurugram,Medical,Urgent
Looking for volunteers in Warangal for Food & Supplies help.,Warangal,Food & Supplies,Non-Urgent
Medical emergency reported in Goa. Need Medical.,Goa,Medical,Non-Urgent
Senior citizens need Humanitarian assistance in Delhi.,Delhi,Humanitarian,Non-Urgent
Need immediate assistance in Kanpur. Situation critical.,Kanpur,Medical,Non-Urgent
Requesting Food & Supplies support in Patna. Please help.,Patna,Food & Supplies,Non-Urgent
"Family stranded in Kanpur, require Medical.",Kanpur,Medical,Urgent
Medical emergency reported in Ranchi. Need Medical.,Ranchi,Medical,Non-Urgent
"Family stranded in Gurugram, require Humanitarian.",Gurugram,Humanitarian,Non-Urgent
Community in Pune asking for Humanitarian assistance.,Pune,Humanitarian,Urgent
"Supplies running low in Bhubaneswar, need Medical.",Bhubaneswar,Medical,Non-Urgent
Community in Kochi asking for Food & Supplies assistance.,Kochi,Food & Supplies,Urgent
Need immediate assistance in Srinagar. Situation critical.,Srinagar,Humanitarian,Non-Urgent
Children in Noida require urgent Food & Supplies support.,Noida,Food & Supplies,Non-Urgent
Urgent call for Food & Supplies aid in Jammu.,Jammu,Food & Supplies,Non-Urgent
Looking for volunteers in Chennai for Medical help.,Chennai,Medical,Urgent
Requesting Food & Supplies support in Kolkata. Please help.,Kolkata,Food & Supplies,Non-Urgent
Children in Ahmedabad require urgent Food & Supplies support.,Ahmedabad,Food & Supplies,Urgent
Children in Bhopal require urgent Medical support.,Bhopal,Medical,Non-Urgent
Urgent call for Medical aid in Chandigarh.,Chandigarh,Medical,Non-Urgent
"Family stranded in Hyderabad, require Medical.",Hyderabad,Medical,Non-Urgent
Urgent call for Humanitarian aid in Kochi.,Kochi,Humanitarian,Urgent
Looking for volunteers in Thiruvananthapuram for Humanitarian help.,Thiruvananthapuram,Humanitarian,Urgent
"Family stranded in Kochi, require Humanitarian.",Kochi,Humanitarian,Non-Urgent
Need immediate assistance in Surat. Situation critical.,Surat,Medical,Urgent
Community in Delhi asking for Medical assistance.,Delhi,Medical,Non-Urgent
Need immediate assistance in Mumbai. Situation critical.,Mumbai,Medical,Non-Urgent
Requesting Medical support in Thiruvananthapuram. Please help.,Thiruvananthapuram,Medical,Non-Urgent
Community in Ahmedabad asking for Humanitarian assistance.,Ahmedabad,Humanitarian,Urgent
"Supplies running low in Vadodara, need Humanitarian.",Vadodara,Humanitarian,Urgent
Community in Guwahati asking for Medical assistance.,Guwahati,Medical,Non-Urgent
Children in Warangal require urgent Humanitarian support.,Warangal,Humanitarian,Non-Urgent
Medical emergency reported in Shillong. Need Food & Supplies.,Shillong,Food & Supplies,Non-Urgent
Requesting Food & Supplies support in Cuttack. Please help.,Cuttack,Food & Supplies,Urgent
"Family stranded in Warangal, require Food & Supplies.",Warangal,Food & Supplies,Urgent
Children in Patna require urgent Medical support.,Patna,Medical,Urgent
Looking for volunteers in Guwahati for Humanitarian help.,Guwahati,Humanitarian,Urgent
Need immediate assistance in Cuttack. Situation critical.,Cuttack,Humanitarian,Urgent
Looking for volunteers in Goa for Food & Supplies help.,Goa,Food & Supplies,Non-Urgent
"Supplies running low in Indore, need Humanitarian.",Indore,Humanitarian,Non-Urgent
Requesting Humanitarian support in Leh. Please help.,Leh,Humanitarian,Urgent
Need immediate assistance in Pune. Situation critical.,Pune,Humanitarian,Urgent
Urgent call for Humanitarian aid in Chandigarh.,Chandigarh,Humanitarian,Non-Urgent
Senior citizens need Medical assistance in Leh.,Leh,Medical,Non-Urgent
Children in Thiruvananthapuram require urgent Food & Supplies support.,Thiruvananthapuram,Food & Supplies,Non-Urgent
"Family stranded in Udaipur, require Food & Supplies.",Udaipur,Food & Supplies,Urgent
Community in Kolkata asking for Food & Supplies assistance.,Kolkata,Food & Supplies,Non-Urgent
Need immediate assistance in Jaipur. Situation critical.,Jaipur,Food & Supplies,Non-Urgent
Children in Gurugram require urgent Medical support.,Gurugram,Medical,Non-Urgent
Senior citizens need Food & Supplies assistance in Indore.,Indore,Food & Supplies,Non-Urgent
Medical emergency reported in Vadodara. Need Medical.,Vadodara,Medical,Non-Urgent
Medical emergency reported in Delhi. Need Food & Supplies.,Delhi,Food & Supplies,Non-Urgent
Need immediate assistance in Noida. Situation critical.,Noida,Food & Supplies,Non-Urgent
Community in Warangal asking for Food & Supplies assistance.,Warangal,Food & Supplies,Non-Urgent
"Family stranded in Ahmedabad, require Food & Supplies.",Ahmedabad,Food & Supplies,Urgent
Medical emergency reported in Kochi. Need Medical.,Kochi,Medical,Non-Urgent
Looking for volunteers in Shillong for Humanitarian help.,Shillong,Humanitarian,Non-Urgent
"Family stranded in Srinagar, require Food & Supplies.",Srinagar,Food & Supplies,Non-Urgent
Community in Surat asking for Food & Supplies assistance.,Surat,Food & Supplies,Non-Urgent
Children in Indore require urgent Food & Supplies support.,Indore,Food & Supplies,Urgent
"Family stranded in Thiruvananthapuram, require Medical.",Thiruvananthapuram,Medical,Non-Urgent
Community in Mumbai asking for Food & Supplies assistance.,Mumbai,Food & Supplies,Urgent
"Family stranded in Imphal, require Medical.",Imphal,Medical,Non-Urgent
Need immediate assistance in Ahmedabad. Situation critical.,Ahmedabad,Humanitarian,Urgent
"Family stranded in Guwahati, require Medical.",Guwahati,Medical,Non-Urgent
"Family stranded in Jaipur, require Food & Supplies.",Jaipur,Food & Supplies,Non-Urgent
Children in Aizawl require urgent Food & Supplies support.,Aizawl,Food & Supplies,Non-Urgent
Medical emergency reported in Hyderabad. Need Medical.,Hyderabad,Medical,Urgent
Looking for volunteers in Imphal for Humanitarian help.,Imphal,Humanitarian,Urgent
"Family stranded in Shillong, require Medical.",Shillong,Medical,Urgent
Children in Thiruvananthapuram require urgent Medical support.,Thiruvananthapuram,Medical,Non-Urgent
"Supplies running low in Jammu, need Medical.",Jammu,Medical,Non-Urgent
Requesting Humanitarian support in Vadodara. Please help.,Vadodara,Humanitarian,Non-Urgent
Requesting Humanitarian support in Coimbatore. Please help.,Coimbatore,Humanitarian,Non-Urgent
"Supplies running low in Indore, need Food & Supplies.",Indore,Food & Supplies,Urgent
Looking for volunteers in Coimbatore for Humanitarian help.,Coimbatore,Humanitarian,Non-Urgent
Looking for volunteers in Chandigarh for Medical help.,Chandigarh,Medical,Non-Urgent
Community in Bhopal asking for Food & Supplies assistance.,Bhopal,Food & Supplies,Non-Urgent
Requesting Humanitarian support in Udaipur. Please help.,Udaipur,Humanitarian,Urgent
Looking for volunteers in Nagpur for Medical help.,Nagpur,Medical,Non-Urgent
Children in Aizawl require urgent Medical support.,Aizawl,Medical,Urgent
"Family stranded in Ranchi, require Food & Supplies.",Ranchi,Food & Supplies,Urgent
Senior citizens need Medical assistance in Patna.,Patna,Medical,Urgent
"Supplies running low in Siliguri, need Medical.",Siliguri,Medical,Urgent
Requesting Humanitarian support in Chandigarh. Please help.,Chandigarh,Humanitarian,Urgent
"Family stranded in Mysuru, require Humanitarian.",Mysuru,Humanitarian,Non-Urgent
Senior citizens need Food & Supplies assistance in Srinagar.,Srinagar,Food & Supplies,Non-Urgent
Children in Pune require urgent Food & Supplies support.,Pune,Food & Supplies,Non-Urgent
Children in Lucknow require urgent Humanitarian support.,Lucknow,Humanitarian,Non-Urgent
Urgent call for Food & Supplies aid in Kolkata.,Kolkata,Food & Supplies,Urgent
Community in Leh asking for Humanitarian assistance.,Leh,Humanitarian,Urgent
Looking for volunteers in Indore for Food & Supplies help.,Indore,Food & Supplies,Urgent
Looking for volunteers in Thiruvananthapuram for Food & Supplies help.,Thiruvananthapuram,Food & Supplies,Non-Urgent
"Supplies running low in Pune, need Medical.",Pune,Medical,Non-Urgent
Medical emergency reported in Gurugram. Need Medical.,Gurugram,Medical,Non-Urgent
Senior citizens need Food & Supplies assistance in Siliguri.,Siliguri,Food & Supplies,Non-Urgent
Requesting Medical support in Coimbatore. Please help.,Coimbatore,Medical,Urgent
Children in Shillong require urgent Food & Supplies support.,Shillong,Food & Supplies,Non-Urgent
Requesting Food & Supplies support in Nagpur. Please help.,Nagpur,Food & Supplies,Urgent
Looking for volunteers in Leh for Food & Supplies help.,Leh,Food & Supplies,Non-Urgent
Senior citizens need Medical assistance in Nagpur.,Nagpur,Medical,Non-Urgent
Looking for volunteers in Leh for Food & Supplies help.,Leh,Food & Supplies,Non-Urgent
Senior citizens need Food & Supplies assistance in Kolkata.,Kolkata,Food & Supplies,Non-Urgent
Urgent call for Medical aid in Guwahati.,Guwahati,Medical,Urgent
Community in Itanagar asking for Food & Supplies assistance.,Itanagar,Food & Supplies,Non-Urgent
Community in Kanpur asking for Food & Supplies assistance.,Kanpur,Food & Supplies,Urgent
"Supplies running low in Kanpur, need Medical.",Kanpur,Medical,Urgent
Children in Goa require urgent Food & Supplies support.,Goa,Food & Supplies,Non-Urgent
Medical emergency reported in Thiruvananthapuram. Need Food & Supplies.,Thiruvananthapuram,Food & Supplies,Urgent
Medical emergency reported in Ahmedabad. Need Food & Supplies.,Ahmedabad,Food & Supplies,Urgent
"Family stranded in Chennai, require Medical.",Chennai,Medical,Urgent
Senior citizens need Medical assistance in Mysuru.,Mysuru,Medical,Urgent
Senior citizens need Food & Supplies assistance in Noida.,Noida,Food & Supplies,Urgent
Requesting Food & Supplies support in Indore. Please help.,Indore,Food & Supplies,Urgent
Requesting Humanitarian support in Indore. Please help.,Indore,Humanitarian,Urgent
Community in Aizawl asking for Medical assistance.,Aizawl,Medical,Non-Urgent
Senior citizens need Humanitarian assistance in Surat.,Surat,Humanitarian,Non-Urgent
Urgent call for Humanitarian aid in Jaipur.,Jaipur,Humanitarian,Non-Urgent
"Supplies running low in Siliguri, need Food & Supplies.",Siliguri,Food & Supplies,Urgent
Medical emergency reported in Ahmedabad. Need Food & Supplies.,Ahmedabad,Food & Supplies,Non-Urgent
Requesting Humanitarian support in Udaipur. Please help.,Udaipur,Humanitarian,Non-Urgent
Community in Imphal asking for Humanitarian assistance.,Imphal,Humanitarian,Non-Urgent
Need immediate assistance in Aizawl. Situation critical.,Aizawl,Food & Supplies,Urgent
"Family stranded in Indore, require Medical.",Indore,Medical,Urgent
Urgent call for Food & Supplies aid in Agartala.,Agartala,Food & Supplies,Urgent
"Supplies running low in Srinagar, need Humanitarian.",Srinagar,Humanitarian,Urgent
Medical emergency reported in Lucknow. Need Medical.,Lucknow,Medical,Non-Urgent
Need immediate assistance in Imphal. Situation critical.,Imphal,Food & Supplies,Non-Urgent
Medical emergency reported in Kolkata. Need Food & Supplies.,Kolkata,Food & Supplies,Urgent
Children in Pune require urgent Humanitarian support.,Pune,Humanitarian,Urgent
"Supplies running low in Nagpur, need Humanitarian.",Nagpur,Humanitarian,Non-Urgent
Medical emergency reported in Mysuru. Need Medical.,Mysuru,Medical,Urgent
Need immediate assistance in Coimbatore. Situation critical.,Coimbatore,Food & Supplies,Non-Urgent
"Supplies running low in Vadodara, need Medical.",Vadodara,Medical,Non-Urgent
Need immediate assistance in Surat. Situation critical.,Surat,Food & Supplies,Non-Urgent
Requesting Medical support in Warangal. Please help.,Warangal,Medical,Non-Urgent
"Supplies running low in Chandigarh, need Humanitarian.",Chandigarh,Humanitarian,Urgent
Urgent call for Medical aid in Kochi.,Kochi,Medical,Urgent
Medical emergency reported in Goa. Need Food & Supplies.,Goa,Food & Supplies,Urgent
Community in Ranchi asking for Medical assistance.,Ranchi,Medical,Urgent
Children in Patna require urgent Food & Supplies support.,Patna,Food & Supplies,Non-Urgent
Children in Mumbai require urgent Medical support.,Mumbai,Medical,Urgent
Community in Agartala asking for Medical assistance.,Agartala,Medical,Non-Urgent
"Family stranded in Ranchi, require Food & Supplies.",Ranchi,Food & Supplies,Urgent
Children in Chennai require urgent Humanitarian support.,Chennai,Humanitarian,Urgent
Urgent call for Medical aid in Chandigarh.,Chandigarh,Medical,Non-Urgent
Senior citizens need Humanitarian assistance in Chennai.,Chennai,Humanitarian,Urgent
"Supplies running low in Delhi, need Humanitarian.",Delhi,Humanitarian,Non-Urgent
Medical emergency reported in Mumbai. Need Food & Supplies.,Mumbai,Food & Supplies,Non-Urgent
Urgent call for Food & Supplies aid in Imphal.,Imphal,Food & Supplies,Urgent
